aberration,s
abet,a
abeyance,a
abhor,a
abide,a
abjure,a
abraded,a
abraid,a
abrogate,a
abscond,s
abstruse,s
abut,a
abysmal,s
acarpous,a
acclaimed,s
accolade,s
accretion,a
accrue,s
acumen,s
adamant,s
admonitory,s
adorn,s
adulteration,s
affable,s
affinity,s
aggravate,s
agile,s
agog,s
ail,s
alacrity,s
alcove,a
ale,a
aleck,a
allegiance,s
alleviate,s
alloy,s
aloof,s
amalgamate,s
ambidextrous,s
ambiguous,s
ambivalent,s
ambrosial,a
ameliorate,s
amortize,s
anguish,s
animosity,s
antidote,s
antithetical,a
apartheid,s
aplomb,a
apostate,s
apotheosis,s
appease,s
apprehensive,s
apprise,a
approbation,a
apropos,s
apt,s
arabesque,a
arboreal,a
arcane,s
archaic,s
ardor,s
arduous,s
argot,s
arrant,s
arrogance,s
articulate,s
ascend,s
ascertain,s
ascetic,s
ascribe,s
aseptic,a
asperity,a
aspersion,a
assail,a
assiduous,a
assuage,a
asterisk,s
astringent,s
astute,s
atavistic,a
atonement,s
attenuate,a
attune,a
audacious,s
augury,s
august,s
auspicious,s
austere,s
auxiliary,s
aver,a
aversion,s
avid,s
avow,s
baleful,s
balk,a
bandy,a
baneful,s
barrage,s
barren,s
bask,s
beatify,s
bedizen,a
beguile,s
belabor,a
bellicose,a
belligerent,a
benefactor,s
benevolence,s
benign,s
benison,a
bequest,a
berate,s
bereft,s
bewilder,s
bigot,s
bilge,a
blandishment,a
blandness,a
blas,a
blatant,s
blithe,s
boggle,a
bogus,s
boisterous,s
bolster,s
boorish,s
braggart,s
brash,s
brass,s
brazen,s
breach,s
brittle,s
broach,s
brobdingnagian,a
brook,s
brummagem,a
buoyant,s
burgeon,s
burnish,s
cabal,s
cadge,s
cajole,s
calipers,s
calisthenics,s
calumny,s
candid,s
cant,s
cantankerous,a
canvass,s
castigate,s
castigation,s
catalyst,s
caustic,s
cavalcade,a
censure,s
centurion,s
chagrin,a
chary,a
chaste,s
chastened,s
chastisement,s
chauvinist,s
chicane,a
chicanery,a
chisel,s
chortle,a
churl,a
churlish,a
clamor,s
clientele,s
clinch,s
cling,s
clot,s
cloture,s
coagulation,s
coalescing,s
coax,s
coda,s
coddle,s
coerce,s
coeval,a
cogent,s
cogitate,a
cognizant,s
cohort,s
colander,a
colloquial,s
collusion,s
combustion,s
commemorate,s
commodious,s
commuter,s
complaisance,a
complaisant,a
compunction,a
conceal,s
conceit,s
conciliatory,a
concoct,s
concord,s
concur,s
condense,s
condone,s
conduce,s
congeal,s
conjoin,s
connoisseur,s
connotation,s
connote,s
consequential,s
console,s
conspicuous,s
consternation,s
constrain,s
constrict,s
consume,s
consummate,s
contemn,a
contentious,s
contiguous,s
contrite,s
contumacious,s
conundrum,s
conviction,s
convoke,a
convoluted,s
cordial,s
cordon,a
cornucopia,a
corporeal,s
correlate,s
corroboration,s
coruscate,a
countenance,a
counterfeit,s
countervail,s
covert,s
covetous,s
cower,s
coy,s
crass,s
cravat,a
craven,s
crease,a
credulity,a
credulous,a
crush,s
cryptic,s
cumbersome,s
curmudgeon,a
curriculum,s
cursory,s
curtail,s
dainty,s
dangle,s
daunt,s
dawdler,s
dearth,s
debacle,s
decorum,s
decree,s
decry,a
defalcate,a
defer,s
deferential,s
defiance,s
delineate,s
deluge,s
demagogue,s
demur,s
denigrate,a
denouement,a
deplete,s
deposition,s
deprave,s
deprecate,s
depredation,s
dereliction,a
derision,a
derivative,s
derogatory,s
descry,a
desiccant,a
desuetude,a
desultory,a
deter,s
detraction,s
detumescence,a
deviance,s
dexterity,s
diabolical,s
diaphanous,s
diatribe,a
didactic,s
diffidence,a
dilate,s
dilettante,a
dirge,a
disallow,s
discern,s
discomfit,a
disconcert,a
discountenance,a
discourse,s
discredit,s
discreet,s
discrete,s
disdain,s
disencumber,s
disheveled,s
disingenuous,s
disinter,a
dislodge,s
dismal,s
disparate,a
disproof,a
disrobe,s
dissemble,s
disseminate,s
dissent,s
dissolution,s
distrait,s
distraught,s
divergence,s
divestiture,a
divulge,s
doggerel,a
dogmatic,s
doleful,s
dolt,s
dormant,s
dote,s
drawl,s
droll,s
drone,s
drowsiness,s
dubious,s
dud,s
dulcet,a
dullard,s
dupe,s
duplicity,s
duress,s
dwarf,s
dynamo,s
earthenware,s
ebullience,a
ebullient,s
eclat,s
ecumenical,a
edacious,a
eddy,s
edible,s
edify,a
efface,a
effete,a
efficacy,a
effluvia,a
effrontery,a
egress,a
elaborate,s
elegy,s
elicit,s
eloquence,s
emaciate,a
embellish,a
embezzle,a
emote,a
